product_id,product_name,category,price,stock
1,Reverse-engineered global middleware,Electronics,321.52,399
2,Profound national matrix,Apparel,141.14,91
3,Triple-buffered non-volatile framework,Automotive,369.55,64
4,Phased 3rdgeneration hub,Electronics,297.29,35
5,Managed systematic budgetary management,Apparel,51.38,278
6,Operative optimal function,Automotive,303.0,121
7,Up-sized system-worthy product,Automotive,359.43,234
8,Assimilated radical leverage,Garden,114.12,162
9,Fundamental solution-oriented toolset,Electronics,405.67,408
10,Vision-oriented optimal orchestration,Toys,403.88,194
11,Focused uniform application,Apparel,142.55,410
12,Reduced mission-critical concept,Home & Kitchen,171.61,214
13,Progressive responsive success,Sports,52.87,329
14,Secured zero-defect implementation,Electronics,135.94,393
15,Digitized systemic encryption,Home & Kitchen,232.42,492
16,Automated object-oriented standardization,Automotive,192.37,170
17,Customizable content-based adapter,Garden,415.56,473
18,Organic foreground instruction set,Garden,431.54,118
19,Distributed incremental solution,Electronics,353.76,358
20,Expanded incremental middleware,Beauty,117.81,60
21,Vision-oriented reciprocal leverage,Home & Kitchen,428.38,214
22,User-centric upward-trending approach,Sports,142.6,103
23,Triple-buffered client-driven model,Apparel,188.24,363
24,Expanded next generation Graphic Interface,Home & Kitchen,137.15,331
25,Switchable mission-critical moderator,Automotive,319.31,393
26,Multi-tiered foreground conglomeration,Grocery,126.18,214
27,Persevering national Graphical User Interface,Automotive,138.62,132
28,Quality-focused heuristic service-desk,Electronics,343.88,137
29,Visionary uniform software,Sports,411.79,225
30,Stand-alone system-worthy firmware,Apparel,137.53,487
31,Seamless mission-critical core,Sports,471.74,128
32,Fully-configurable even-keeled open architecture,Toys,329.44,472
33,Innovative directional framework,Grocery,457.7,93
34,Visionary executive strategy,Apparel,136.12,401
35,Expanded system-worthy strategy,Beauty,282.88,402
36,Pre-emptive foreground matrices,Garden,294.37,224
37,Monitored next generation utilization,Books,184.19,280
38,Up-sized even-keeled forecast,Electronics,249.29,460
39,Decentralized object-oriented service-desk,Books,59.28,425
40,Quality-focused homogeneous infrastructure,Garden,341.84,52
41,Monitored zero administration website,Garden,195.46,259
42,Digitized explicit analyzer,Automotive,266.91,460
43,Horizontal transitional artificial intelligence,Home & Kitchen,471.5,369
44,Monitored leadingedge projection,Beauty,442.97,413
45,Function-based value-added matrices,Home & Kitchen,322.28,170
46,Extended dedicated monitoring,Grocery,220.21,21
47,Future-proofed next generation standardization,Beauty,477.14,276
48,Future-proofed client-driven benchmark,Automotive,382.17,487
49,Seamless user-facing parallelism,Beauty,57.67,450
50,Front-line dynamic application,Garden,321.28,121
51,Synchronized multi-tasking definition,Books,80.66,296
52,Sharable discrete application,Automotive,476.98,490
53,Cross-platform incremental groupware,Sports,5.28,270
54,Universal methodical attitude,Sports,14.64,469
55,Synergized zero administration challenge,Beauty,492.73,142
56,Adaptive neutral complexity,Garden,33.67,60
57,Open-source solution-oriented leverage,Grocery,47.4,437
58,Polarized solution-oriented customer loyalty,Automotive,39.26,412
59,Versatile executive Graphic Interface,Grocery,67.25,301
60,Horizontal secondary approach,Automotive,86.74,466
61,Visionary background projection,Apparel,305.26,495
62,Re-engineered discrete monitoring,Apparel,271.95,385
63,User-centric uniform alliance,Sports,159.3,244
64,Enhanced intangible conglomeration,Grocery,450.31,81
65,Automated hybrid toolset,Home & Kitchen,127.71,193
66,Proactive contextually-based synergy,Automotive,15.41,137
67,Implemented 5thgeneration access,Electronics,296.28,56
68,Innovative non-volatile portal,Electronics,355.38,137
69,Customer-focused full-range forecast,Electronics,38.36,460
70,Persevering secondary moratorium,Automotive,168.56,141
